condition	position_bp	signal
Inh5	6950	1.67052138710412
Inh5	7050	1.67110675884244
Inh5	7150	1.70269714367015
Inh5	7250	1.81600520390974
Inh5	7350	1.81930702654867
Inh5	7450	1.76489537717326
Inh5	7550	1.72763333540108
Inh5	7650	1.75940612460518
Inh5	7750	1.81263030444185
Inh5	7850	1.93094791514669
Inh5	7950	1.8927211398287
Inh5	8050	1.63303670437925
Inh5	8150	1.55493768167203
Inh5	8250	1.71386487326068
Inh5	8350	1.77557702580884
Inh5	8450	1.83996714011325
Inh5	8550	1.8645671836212
Inh5	8650	1.69376947753464
Inh5	8750	1.62620396835785
Inh5	8850	1.61385553105882
Inh5	8950	1.64332699507726
Inh5	9050	1.61641752260763
Inh5	9150	1.60629388145577
Inh5	9250	1.69985919858862
Inh5	9350	1.77151222587713
Inh5	9450	1.86126404086162
Inh5	9550	1.8581142271007
Inh5	9650	1.81772059283499
Inh5	9750	1.79494997709359
Inh5	9850	1.74934543880716
Inh5	9950	1.71579074441567
Combo	-9950	1.82104539848618
Combo	-9850	1.76431606749566
Combo	-9750	1.86705477551717
Combo	-9650	1.88921688592323
Combo	-9550	1.90692144318926
Combo	-9450	1.9098617258629
Combo	-9350	1.8450594946362
Combo	-9250	1.8584887230743
Combo	-9150	1.88048398887403
Combo	-9050	1.93257848015252
Combo	-8950	1.9868645942862
Combo	-8850	1.82476269800529
Combo	-8750	1.66860623575107
Combo	-8650	1.66620397609766
Combo	-8550	1.74856362100561
Combo	-8450	1.64716603628034
Combo	-8350	1.55064661687961
Combo	-8250	1.6212513490311
Combo	-8150	1.65162157542043
Combo	-8050	1.60159777355377
Combo	-7950	1.64326153142873
Combo	-7850	1.89462718919842
Combo	-7750	1.96396658532282
Combo	-7650	1.84617222334462
Combo	-7550	1.85072618128788
Combo	-7450	1.82394804236975
Combo	-7350	1.84837595008963
Combo	-7250	1.87723422038528
Combo	-7150	1.79696828079561
Combo	-7050	1.76371132125886
Combo	-6950	1.73818491913041
Combo	-6850	1.6613206408104
Combo	-6750	1.8040187266881
Combo	-6650	1.94575424024699
Combo	-6550	1.9635064736932
Combo	-6450	1.90964385940301
Combo	-6350	1.92202674028967
Combo	-6250	1.90866579156589
Combo	-6150	1.77995334806363
Combo	-6050	1.6551577456677
Combo	-5950	1.77085976410665
Combo	-5850	1.82667540414876
Combo	-5750	1.76439627112085
Combo	-5650	1.77271635142134
Combo	-5550	1.78286377019606
Combo	-5450	1.81193422146658
Combo	-5350	1.79770856779444
Combo	-5250	1.75793253194093
Combo	-5150	1.639132091398
Combo	-5050	1.55018368141593
Combo	-4950	1.65573490316706
Combo	-4850	1.84102139882765
Combo	-4750	1.84948018732038
Combo	-4650	1.77532677674075
Combo	-4550	1.67212851131093
Combo	-4450	1.6112860814956
Combo	-4350	1.6547505824204
Combo	-4250	1.61821035751074
Combo	-4150	1.62636735634408
Combo	-4050	1.70932730970606
Combo	-3950	1.83768008234926
Combo	-3850	1.9149189325897
Combo	-3750	1.89327152883931
Combo	-3650	1.85687255222946
Combo	-3550	1.80832715744245
Combo	-3450	1.74233094095552
Combo	-3350	1.7052571260564
Combo	-3250	1.64152397404889
Combo	-3150	1.72077899405287
Combo	-3050	1.80681569681018
Combo	-2950	1.79472669729391
Combo	-2850	1.77135293406937
Combo	-2750	1.86200088208178
Combo	-2650	1.88459028250292
Combo	-2550	1.81239977463506
Combo	-2450	1.78366675938309
Combo	-2350	1.74196129519392
Combo	-2250	1.64145372150926
Combo	-2150	1.73908254938395
Combo	-2050	1.89107892061008
Combo	-1950	1.84703997820334
Combo	-1850	1.78542578909029
Combo	-1750	1.83295973138321
Combo	-1650	1.84018201781294
Combo	-1550	1.86083205471929
Combo	-1450	1.8310251591213
Combo	-1350	1.90693415482457
Combo	-1250	1.976143091085
Combo	-1150	2.02075767751757
Combo	-1050	2.0625571731497
Combo	-950	2.11651670139146
Combo	-850	2.18350101286174
Combo	-750	2.11342250564835
Combo	-650	2.12409857516433
Combo	-550	2.22053755803432
Combo	-450	2.52343764351364
Combo	-350	2.94907167968016
Combo	-250	3.37074692382551
Combo	-150	3.69986349810773
Combo	-50	4.04473209782887
Combo	50	4.28728686793956
Combo	150	4.24822196764647
Combo	250	3.90553144196568
Combo	350	3.50360315422702
Combo	450	3.23639687778505
Combo	550	2.83049571055402
Combo	650	2.65414879449677
Combo	750	2.51961890845972
Combo	850	2.32214624790143
Combo	950	2.22166400475201
Combo	1050	2.16411998363828
Combo	1150	2.02789606223145
Combo	1250	2.04761595549612
Combo	1350	2.09630494320348
Combo	1450	2.12210924656404
Combo	1550	1.95704945266483
Combo	1650	1.75953216216601
Combo	1750	1.77432653572546
Combo	1850	1.97559798989842
Combo	1950	2.0874114866403
Combo	2050	2.02555641473409
Combo	2150	1.88214090985402
Combo	2250	1.94105386771192
Combo	2350	2.1644560561705
Combo	2450	2.15051583396409
Combo	2550	2.07520583370799
Combo	2650	2.03679757314401
Combo	2750	1.97741633676692
Combo	2850	1.89510016222292
Combo	2950	1.93576009077199
Combo	3050	1.99859341163247
Combo	3150	2.06413149187605
Combo	3250	2.12212067231028
Combo	3350	2.10344069621262
Combo	3450	1.94834419941382
Combo	3550	1.77186847133142
Combo	3650	1.74328037723017
Combo	3750	1.86002226247048
Combo	3850	1.83234192490681
Combo	3950	1.63159726938508
Combo	4050	1.63187916634892
Combo	4150	1.7453664307828
Combo	4250	1.87411525498677
Combo	4350	1.92482332996614
Combo	4450	1.82408870452153
Combo	4550	1.69743479267564
Combo	4650	1.74814162615599
Combo	4750	1.84126673294824
Combo	4850	1.98492698639843
Combo	4950	2.03752968551347
Combo	5050	1.91557597973992
Combo	5150	1.80590106043878
Combo	5250	1.799730323706
Combo	5350	1.83302431326295
Combo	5450	1.91418254437584
Combo	5550	2.03620700791054
Combo	5650	2.01459629670205
Combo	5750	2.08713682187064
Combo	5850	2.16389385402498
Combo	5950	2.08633624519819
Combo	6050	1.91083947670944
Combo	6150	1.87215216105626
Combo	6250	1.87384444831119
Combo	6350	1.94333272717184
Combo	6450	2.02982679111061
Combo	6550	1.96455729581994
Combo	6650	1.82902874859858
Combo	6750	1.69824790211422
Combo	6850	1.64246950579063
Combo	6950	1.66727283109012
Combo	7050	1.70171825922659
Combo	7150	1.75186822729989
Combo	7250	1.78958841006744
Combo	7350	1.89884456739607
Combo	7450	1.91176423282019
Combo	7550	1.72273388760208
Combo	7650	1.69060650937598
Combo	7750	1.74245856822127
Combo	7850	1.82888457758302
Combo	7950	1.89822332916939
Combo	8050	1.96948127095012
Combo	8150	1.90052200739834
Combo	8250	1.73610667666392
Combo	8350	1.70972607230458
Combo	8450	1.66795623711692
Combo	8550	1.60073678339925
Combo	8650	1.70812037190906
Combo	8750	1.82709917135703
Combo	8850	1.75273887878098
Combo	8950	1.74341268608258
Combo	9050	1.80817004825997
Combo	9150	1.84117009270694
Combo	9250	1.76047090180121
Combo	9350	1.74508999311385
Combo	9450	1.86197115274735
Combo	9550	1.9284810467803
Combo	9650	1.96541456568876
Combo	9750	1.96821054744899
Combo	9850	1.94446562148934
Combo	9950	1.88365759448539
